filepath,basename,status,errors,tracking_id
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_13/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc,atmos_daily.20210101-20301231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.t_ref_max.nc,atmos_daily.20410101-20501231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.t_ref_max.nc,atmos_daily.20110101-20201231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_max.nc,atmos_daily.20910101-21001231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.t_ref_max.nc,atmos_daily.20710101-20801231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.t_ref_max.nc,atmos_daily.20310101-20401231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_max.nc,atmos_daily.20610101-20701231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_max.nc,atmos_daily.20810101-20901231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc,atmos_daily.20210101-20301231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_14/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_max.nc,atmos_daily.20510101-20601231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.t_ref_max.nc,atmos_daily.20410101-20501231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc,atmos_daily.20210101-20301231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.t_ref_max.nc,atmos_daily.20710101-20801231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_max.nc,atmos_daily.20610101-20701231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_max.nc,atmos_daily.20810101-20901231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.t_ref_max.nc,atmos_daily.20310101-20401231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_max.nc,atmos_daily.20510101-20601231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_max.nc,atmos_daily.20910101-21001231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_15/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.t_ref_max.nc,atmos_daily.20110101-20201231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.t_ref_max.nc,atmos_daily.20310101-20401231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.t_ref_max.nc,atmos_daily.20710101-20801231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.t_ref_max.nc,atmos_daily.20410101-20501231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc,atmos_daily.20210101-20301231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_max.nc,atmos_daily.20910101-21001231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_max.nc,atmos_daily.20610101-20701231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_max.nc,atmos_daily.20510101-20601231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_max.nc,atmos_daily.20810101-20901231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_16/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.t_ref_max.nc,atmos_daily.20110101-20201231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc,atmos_daily.20210101-20301231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.t_ref_max.nc,atmos_daily.20410101-20501231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_max.nc,atmos_daily.20910101-21001231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_max.nc,atmos_daily.20610101-20701231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_max.nc,atmos_daily.20810101-20901231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.t_ref_max.nc,atmos_daily.20110101-20201231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.t_ref_max.nc,atmos_daily.20710101-20801231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_max.nc,atmos_daily.20510101-20601231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_17/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.t_ref_max.nc,atmos_daily.20310101-20401231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_max.nc,atmos_daily.20510101-20601231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.t_ref_max.nc,atmos_daily.20710101-20801231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_max.nc,atmos_daily.20910101-21001231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.t_ref_max.nc,atmos_daily.20310101-20401231.t_ref_max.nc,FAIL,"Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id' | Var 't_ref_max:cell_methods' is 'time: max time: mean', expected 'time: max'",MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.t_ref_max.nc,atmos_daily.20410101-20501231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.t_ref_max.nc,atmos_daily.20110101-20201231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc,atmos_daily.20210101-20301231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_max.nc,atmos_daily.20810101-20901231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_18/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_max.nc,atmos_daily.20610101-20701231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_max.nc,atmos_daily.20910101-21001231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc,atmos_daily.20210101-20301231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_max.nc,atmos_daily.20810101-20901231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_max.nc,atmos_daily.20610101-20701231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_max.nc,atmos_daily.20510101-20601231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20410101-20501231.t_ref_max.nc,atmos_daily.20410101-20501231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20310101-20401231.t_ref_max.nc,atmos_daily.20310101-20401231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20110101-20201231.t_ref_max.nc,atmos_daily.20110101-20201231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_19/atmos_daily/ts/daily/10yr/atmos_daily.20710101-20801231.t_ref_max.nc,atmos_daily.20710101-20801231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_20/atmos_daily/ts/daily/10yr/atmos_daily.20910101-21001231.t_ref_max.nc,atmos_daily.20910101-21001231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_20/atmos_daily/ts/daily/10yr/atmos_daily.20210101-20301231.t_ref_max.nc,atmos_daily.20210101-20301231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_20/atmos_daily/ts/daily/10yr/atmos_daily.20510101-20601231.t_ref_max.nc,atmos_daily.20510101-20601231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_20/atmos_daily/ts/daily/10yr/atmos_daily.20610101-20701231.t_ref_max.nc,atmos_daily.20610101-20701231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/SPEAR_c192_o1_Scen_SSP585_IC2011_K50/pp_ens_20/atmos_daily/ts/daily/10yr/atmos_daily.20810101-20901231.t_ref_max.nc,atmos_daily.20810101-20901231.t_ref_max.nc,FAIL,Missing Global Attr: 'experiment_id' | Missing Global Attr: 'frequency' | Missing Global Attr: 'source_id' | Missing Global Attr: 'activity_id' | Missing Global Attr: 'tracking_id',MISSING_ID
